Category,Logistic_Regression,Naive_Bayes,Baseline
Entire,0.4698,0.4578,0.3308
apparel,0.4340659341,0.4352603918,0.2950310559
automotive,0.4258130081,0.4308943089,0.3282520325
baby_product,0.3898305085,0.3886198547,0.3365617433
beauty,0.4139447236,0.4195979899,0.3228643216
book,0.4442190669,0.4492900609,0.3772819473
camera,0.3778966132,0.385026738,0.3475935829
digital_ebook_purchase,0.4304298643,0.4604072398,0.318438914
digital_video_download,0.3508287293,0.3867403315,0.2762430939
drugstore,0.4121271077,0.4215304799,0.3242542153
electronics,0.4674846626,0.4564417178,0.3349693252
furniture,0.4033505155,0.418814433,0.3298969072
grocery,0.4458804523,0.4499192246,0.3190630048
home,0.4438979404,0.4443590532,0.3335382724
home_improvement,0.4025559105,0.4169329073,0.3205537806
industrial_supplies,0.3528301887,0.3528301887,0.3226415094
jewelry,0.438450899,0.4149377593,0.3402489627
kitchen,0.4526779164,0.4526779164,0.3455612619
lawn_and_garden,0.4287941788,0.4282744283,0.3165280665
luggage,0.3925501433,0.4154727794,0.3667621777
musical_instruments,0.4270833333,0.3715277778,0.375
office_product,0.4078947368,0.4265927978,0.3337950139
other,0.4234259784,0.421440726,0.3235961429
pc,0.4263565891,0.4376863447,0.3178294574
personal_care_appliances,0.25,0.25,0.25
pet_products,0.3961248654,0.3891280947,0.3191603875
shoes,0.4008810573,0.4118942731,0.2980910426
sports,0.4087155963,0.419266055,0.3467889908
toy,0.4641460235,0.4637114298,0.3441981747
video_games,0.3540669856,0.3492822967,0.2870813397
watch,0.4365482234,0.3147208122,0.2639593909
wireless,0.4442284326,0.439854192,0.3212636695
