,LR0,LR1,LR2,LR3,LR4,NB0,NB1,NB2,NB3,NB4,Vad0,Vad1,Vad2,Vad3,Vad4
apparel,0.43167701863354035,0.40062111801242234,0.1230291447682752,0.034400382226469184,0.010272336359292882,0.4340659340659341,0.4228380315336837,0.110606784519828,0.027233635929288104,0.005255613951266125,0.29479216435738176,0.40611562350692787,0.2095078834209269,0.0740563784042045,0.015527950310559006
automotive,0.4222560975609756,0.36585365853658536,0.14329268292682926,0.043191056910569105,0.02540650406504065,0.4303861788617886,0.35721544715447157,0.13516260162601626,0.047764227642276426,0.029471544715447155,0.3282520325203252,0.4065040650406504,0.1915650406504065,0.05538617886178862,0.018292682926829267
baby_product,0.3922518159806295,0.38619854721549635,0.15375302663438256,0.048426150121065374,0.01937046004842615,0.387409200968523,0.38619854721549635,0.15617433414043583,0.05205811138014528,0.018159806295399514,0.3365617433414044,0.3583535108958838,0.1973365617433414,0.08837772397094432,0.01937046004842615
beauty,0.4104899497487437,0.37751256281407036,0.13819095477386933,0.05496231155778895,0.018844221105527637,0.41708542713567837,0.37248743718592964,0.13662060301507536,0.059673366834170856,0.014133165829145729,0.3228643216080402,0.3850502512562814,0.1925251256281407,0.07726130653266332,0.02229899497487437
book,0.4259634888438134,0.3407707910750507,0.15517241379310345,0.0537525354969574,0.02434077079107505,0.4462474645030426,0.31643002028397565,0.16531440162271804,0.055780933062880324,0.016227180527383367,0.3772819472616633,0.35699797160243407,0.19675456389452334,0.060851926977687626,0.008113590263691683
camera,0.39215686274509803,0.36363636363636365,0.1622103386809269,0.0659536541889483,0.016042780748663103,0.39215686274509803,0.3761140819964349,0.14260249554367202,0.0677361853832442,0.0213903743315508,0.34759358288770054,0.33868092691622104,0.23351158645276293,0.053475935828877004,0.026737967914438502
digital_ebook_purchase,0.41346153846153844,0.4343891402714932,0.10633484162895927,0.034502262443438916,0.011312217194570135,0.4592760180995475,0.43721719457013575,0.0752262443438914,0.02319004524886878,0.005090497737556561,0.3184389140271493,0.4309954751131222,0.17760180995475114,0.05656108597285068,0.016402714932126698
digital_video_download,0.356353591160221,0.38950276243093923,0.17955801104972377,0.049723756906077346,0.024861878453038673,0.3839779005524862,0.39779005524861877,0.143646408839779,0.0718232044198895,0.0027624309392265192,0.27624309392265195,0.3812154696132597,0.23204419889502761,0.09668508287292818,0.013812154696132596
drugstore,0.41212710765239946,0.3654345006485084,0.14559014267185474,0.05642023346303502,0.020428015564202335,0.42282749675745784,0.3430609597924773,0.14915693904020752,0.061608300907911806,0.023346303501945526,0.324254215304799,0.3832684824902724,0.19682230869001296,0.07587548638132295,0.019779507133592736
electronics,0.46134969325153374,0.3570552147239264,0.12576687116564417,0.03865030674846626,0.01717791411042945,0.4539877300613497,0.3539877300613497,0.13006134969325153,0.03742331288343558,0.024539877300613498,0.33496932515337424,0.36687116564417177,0.19325153374233128,0.0834355828220859,0.02147239263803681
